"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL318409";"";"0";"387.91";"1";"7.10";"1";"CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccccc1)Oc1ccc(Cl)cc1-3";"Ki";"'='";"9.3";"nM";"8.03";"";"";"UO_0000065";"20.70";"0.39";"0.93";"37.78";"0";"CHEMBL680190";"Binding affinity for glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134574";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL427265";"";"0";"386.46";"0";"2.91";"22";"N#Cc1cccc(Cc2c(N3CCC(c4ccccc4)CC3)[nH]c(=O)[nH]c2=O)c1";"Ki";"'='";"37.0";"nM";"7.43";"";"";"UO_0000065";"19.23";"0.35";"4.52";"8.01";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL231500";"";"0";"418.50";"0";"3.00";"31";"CC(=O)Nc1ccc(C2CCN(c3[nH]c(=O)[nH]c(=O)c3Cc3ccccc3)CC2)cc1";"Ki";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"17.53";"0.32";"4.34";"7.48";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL230461";"";"0";"405.50";"0";"2.24";"9";"Cn1c(=O)[nH]c(N2CCC(O)(Cc3ccccc3)CC2)c(Cc2ccccc2)c1=O";"Ki";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"15.89";"0.29";"4.20";"8.23";"0";"CHEMBL890428";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146208";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL410037";"";"0";"510.61";"1";"4.27";"73";"O=S(=O)(c1ccc(F)cc1)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@]2(CN2CCCC2)C1";"Ki";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"17.23";"0.33";"4.53";"15.05";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL272789";"";"0";"479.62";"1";"5.35";"29";"CC(C)(C)c1ccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C)C2)cc1";"Ki";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"18.60";"0.36";"3.57";"16.16";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL403762";"";"0";"437.54";"0";"4.36";"27";"Cc1ccccc1S(=O)(=O)N1CCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@]2(C)C1";"Ki";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"17.50";"0.34";"3.30";"13.87";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1276308";"MIFEPRISTONE";"4";"429.60";"1";"5.41";"Mifepristone";"CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C";"Ki";"'='";"0.4";"nM";"9.40";"";"";"UO_0000065";"21.88";"0.40";"3.99";"23.18";"0";"CHEMBL950162";"Displacement of [3H]dexamethasone from human recombinant GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142367";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL77779";"";"0";"366.89";"0";"4.55";"1";"Oc1ccc2c(c1)CC[C@@H]1C[C@@](O)(C#CCl)CC[C@@]21Cc1ccccc1";"Ki";"'='";"0.1";"nM";"10.00";"";"";"UO_0000065";"27.26";"0.53";"5.45";"24.72";"0";"CHEMBL1106116";"Displacement of [3H]DEX from human glucocorticoid receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156190";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL201488";"";"0";"518.54";"2";"5.45";"36";"C[C@H]1CN(C(=O)Nc2ccc(NC(=O)OC(C)(C)C)nc2)[C@H](C)CN1c1ccc(C#N)c(C(F)(F)F)c1";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL858793";"Inhibition of human GR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2034";"Glucocorticoid receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147729";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
